origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
41_5022,41_5006,41,83.71128751334878,2656141.369272963,222349013.83930892
41_5021,41_5008,41,83.58543021067332,2470361.253953319,206486208.1874666
28_9030,28_3093,28,69.11245999683668,2916105.0220410624,201539191.68238747
41_7018,41_7081,41,72.2496639013825,2776483.8686496774,200600026.33754945
41_5005,41_7081,41,72.19057069303307,2768242.139341745,199840979.85558334
28_9030,28_3094,28,69.05202663111406,2889922.305149216,199554991.9770142
41_5022,41_5008,41,83.66977456916639,2345922.291454426,196282789.2827741
41_5006,41_6011,41,84.23512608378667,2194210.8717154567,184829629.43336695
41_7018,41_2002,41,96.15938920581573,1914169.1534809812,184065336.6353445
41_5005,41_2002,41,96.10029599746628,1908487.1237055815,183406177.4954594
41_5021,41_7081,41,71.07794059825824,2573459.9611093635,182916234.2477273
41_5022,41_7081,41,71.16228495675131,2443827.630177839,173908358.20389766
41_5021,41_2002,41,94.98766590269145,1774199.9983848822,168527116.6911389
28_7012,28_3093,28,69.0262403299931,2399096.6867377763,165600624.47365192
28_7012,28_3094,28,68.96580696427048,2377556.0121495016,163970068.98064327
41_6011,41_5008,41,84.19361313960425,1937942.104910588,163162347.8677924
41_5022,41_2002,41,95.07201026118452,1684828.613243847,160180043.2066563
41_5006,41_7025,41,82.93478788377907,1873644.1566074172,155390280.69791827
41_6011,41_7081,41,71.68612352718915,2018820.6910848997,144721429.4403575
41_5008,41_7025,41,82.89327493959667,1654815.381472628,137173066.3906841
17_5453,17_5843,17,34.37732660138507,3961052.64849232,136170400.58250183
41_6011,41_2002,41,95.59584883162238,1391819.4652300566,133052163.19904198
53_3019,53_6049,53,75.80206539703195,1670214.3809397223,126605699.73105606
41_5006,41_2002,41,86.9076606872607,1445950.868453893,125664207.44604088
35_2118,35_0901,35,63.017618298142686,1940489.0314625846,122284997.09644175
35_2118,35_0902,35,63.01115047588928,1940489.0314625846,122272446.35830157
35_2118,35_0903,35,63.0051017204926,1940489.0314625846,122260708.8148003
35_2118,35_0959,35,62.99873519355667,1940489.0314625846,122248354.63911262
41_7081,41_7025,41,70.38578532718155,1723877.882407962,121336498.56144315
53_6049,53_3014,53,75.5949776186468,1579284.1330501956,119385948.69141355
41_7081,41_2002,41,89.60849062007271,1330371.4648194707,119212578.92648794
35_AA01,35_0901,35,58.817938069706834,2025464.091499526,119133621.49623413
35_AA01,35_0902,35,58.81147024745343,2025464.091499526,119120521.15450966
35_AA01,35_0903,35,58.805421492056745,2025464.091499526,119108269.61765541
35_AA01,35_0959,35,58.79905496512082,2025464.091499526,119095374.44595914
53_6049,53_7409,53,76.84963041116742,1499477.0870402989,115234259.94906089
35_2118,35_0505,35,63.06103189748009,1803040.5719813684,113701599.02216782
35_2118,35_0506,35,63.056338395269215,1802970.928601551,113688744.99073218
35_2118,35_0507,35,63.0519964617443,1802934.4476623049,113678616.41476056
35_2118,35_0504,35,63.04876227960635,1802941.080615254,113673203.59584773
35_2118,35_0509,35,63.02645489709247,1802974.2450139713,113635074.93399242
35_2118,35_0502,35,63.02320940180663,1802980.8778205109,113629641.4103352
17_5843,17_9267,17,34.41580430327706,3283309.9837804227,112997753.86878282
17_5843,17_5151,17,34.38288196505998,3283633.2625353257,112900774.8822969
41_7025,41_2002,41,94.29551063161479,1188479.3944357638,112068271.37347268
41_5008,41_2002,41,86.86614774307832,1277073.7333089896,110934475.59642328
35_AA01,35_0505,35,58.86135166904424,1881996.689933593,110776869.00615843
35_AA01,35_0506,35,58.85665816683336,1881923.9968326564,110763757.37754045
35_AA01,35_0507,35,58.85231623330845,1881885.9183734278,110753345.18312307
35_AA01,35_0504,35,58.8490820511705,1881892.84178696,110747666.25783123
35_AA01,35_0509,35,58.82677466865662,1881927.458472563,110707722.5423231
35_AA01,35_0502,35,58.82352917337078,1881934.381733274,110702022.00625674
28_5803,28_3093,28,64.87160403390325,1682256.4483409396,109130674.20025386
