source_node,target_node,conflict_count,total_overlap_days,max_overlap_days,edge_type
51_0113,51_0116,1,243,243,node_project_conflict
51_0113,51_0117,1,243,243,node_project_conflict
51_0113,51_0118,1,243,243,node_project_conflict
51_0113,51_0119,1,243,243,node_project_conflict
51_0113,51_0122,1,243,243,node_project_conflict
51_0113,51_0123,1,243,243,node_project_conflict
51_0113,51_0124,1,243,243,node_project_conflict
51_0114,51_0116,1,243,243,node_project_conflict
51_0114,51_0119,1,243,243,node_project_conflict
51_0114,51_0120,1,243,243,node_project_conflict
51_0114,51_0121,1,243,243,node_project_conflict
51_0114,51_0122,1,243,243,node_project_conflict
51_0114,51_0123,1,243,243,node_project_conflict
51_0114,51_0124,1,243,243,node_project_conflict
51_0114,51_0159,1,243,243,node_project_conflict
51_0115,51_0116,1,243,243,node_project_conflict
51_0115,51_0117,1,243,243,node_project_conflict
51_0115,51_0118,1,243,243,node_project_conflict
51_0115,51_0119,1,243,243,node_project_conflict
51_0115,51_0122,1,243,243,node_project_conflict
51_0115,51_0123,1,243,243,node_project_conflict
51_0115,51_0124,1,243,243,node_project_conflict
51_0116,51_0117,1,243,243,node_project_conflict
51_0116,51_0118,1,243,243,node_project_conflict
51_0116,51_0119,1,243,243,node_project_conflict
51_0116,51_0120,1,243,243,node_project_conflict
51_0116,51_0121,1,243,243,node_project_conflict
51_0116,51_0122,1,243,243,node_project_conflict
51_0116,51_0123,1,243,243,node_project_conflict
51_0116,51_0124,1,243,243,node_project_conflict
51_0116,51_0159,1,243,243,node_project_conflict
51_0117,51_0118,1,243,243,node_project_conflict
51_0117,51_0119,1,243,243,node_project_conflict
51_0117,51_0122,1,243,243,node_project_conflict
51_0117,51_0123,1,243,243,node_project_conflict
51_0117,51_0124,1,243,243,node_project_conflict
51_0118,51_0119,1,243,243,node_project_conflict
51_0118,51_0122,1,243,243,node_project_conflict
51_0118,51_0123,1,243,243,node_project_conflict
51_0118,51_0124,1,243,243,node_project_conflict
51_0119,51_0120,1,243,243,node_project_conflict
51_0119,51_0121,1,243,243,node_project_conflict
51_0119,51_0122,1,243,243,node_project_conflict
51_0119,51_0123,1,243,243,node_project_conflict
51_0119,51_0124,1,243,243,node_project_conflict
51_0119,51_0159,1,243,243,node_project_conflict
51_0120,51_0121,1,243,243,node_project_conflict
51_0120,51_0122,1,243,243,node_project_conflict
51_0120,51_0123,1,243,243,node_project_conflict
51_0120,51_0124,1,243,243,node_project_conflict
51_0120,51_0159,1,243,243,node_project_conflict
51_0121,51_0122,1,243,243,node_project_conflict
51_0121,51_0123,1,243,243,node_project_conflict
51_0121,51_0124,1,243,243,node_project_conflict
51_0121,51_0159,1,243,243,node_project_conflict
51_0122,51_0123,1,243,243,node_project_conflict
51_0122,51_0124,1,243,243,node_project_conflict
51_0122,51_0159,1,243,243,node_project_conflict
51_0123,51_0124,1,243,243,node_project_conflict
51_0123,51_0159,1,243,243,node_project_conflict
51_0124,51_0159,1,243,243,node_project_conflict
53_0201,53_0202,1,0,0,node_project_conflict
53_0201,53_0203,1,0,0,node_project_conflict
53_0201,53_0204,1,0,0,node_project_conflict
53_0201,53_0205,1,0,0,node_project_conflict
53_0201,53_0206,1,0,0,node_project_conflict
53_0201,53_0207,1,0,0,node_project_conflict
53_0201,53_0208,1,0,0,node_project_conflict
53_0201,53_0209,1,0,0,node_project_conflict
53_0201,53_0210,1,0,0,node_project_conflict
53_0201,53_0211,1,0,0,node_project_conflict
53_0201,53_0212,1,0,0,node_project_conflict
53_0201,53_0259,1,0,0,node_project_conflict
53_0202,53_0203,1,0,0,node_project_conflict
53_0202,53_0204,1,0,0,node_project_conflict
53_0202,53_0209,1,0,0,node_project_conflict
53_0202,53_0210,1,0,0,node_project_conflict
53_0202,53_0211,1,0,0,node_project_conflict
53_0202,53_0212,1,0,0,node_project_conflict
53_0202,53_0259,1,0,0,node_project_conflict
53_0203,53_0204,1,0,0,node_project_conflict
53_0203,53_0209,1,0,0,node_project_conflict
53_0203,53_0210,1,0,0,node_project_conflict
53_0203,53_0211,1,0,0,node_project_conflict
53_0203,53_0212,1,0,0,node_project_conflict
53_0203,53_0259,1,0,0,node_project_conflict
53_0204,53_0205,1,0,0,node_project_conflict
53_0204,53_0206,1,0,0,node_project_conflict
53_0204,53_0207,1,0,0,node_project_conflict
53_0204,53_0208,1,0,0,node_project_conflict
53_0204,53_0209,1,0,0,node_project_conflict
53_0204,53_0210,1,0,0,node_project_conflict
53_0204,53_0211,1,0,0,node_project_conflict
53_0204,53_0212,1,0,0,node_project_conflict
53_0204,53_0259,1,0,0,node_project_conflict
53_0205,53_0206,1,0,0,node_project_conflict
53_0205,53_0207,1,0,0,node_project_conflict
53_0205,53_0208,1,0,0,node_project_conflict
53_0205,53_0209,1,0,0,node_project_conflict
53_0205,53_0211,1,0,0,node_project_conflict
53_0205,53_0212,1,0,0,node_project_conflict
53_0206,53_0207,1,0,0,node_project_conflict
53_0206,53_0208,1,0,0,node_project_conflict
53_0206,53_0209,1,0,0,node_project_conflict
53_0206,53_0211,1,0,0,node_project_conflict
53_0206,53_0212,1,0,0,node_project_conflict
53_0207,53_0208,1,0,0,node_project_conflict
53_0207,53_0209,1,0,0,node_project_conflict
53_0207,53_0211,1,0,0,node_project_conflict
53_0207,53_0212,1,0,0,node_project_conflict
53_0208,53_0209,1,0,0,node_project_conflict
53_0208,53_0211,1,0,0,node_project_conflict
53_0208,53_0212,1,0,0,node_project_conflict
53_0209,53_0210,1,0,0,node_project_conflict
53_0209,53_0211,1,0,0,node_project_conflict
53_0209,53_0212,1,0,0,node_project_conflict
53_0209,53_0259,1,0,0,node_project_conflict
53_0210,53_0211,1,0,0,node_project_conflict
53_0210,53_0212,1,0,0,node_project_conflict
53_0210,53_0259,1,0,0,node_project_conflict
53_0211,53_0212,1,0,0,node_project_conflict
53_0211,53_0259,1,0,0,node_project_conflict
53_0212,53_0259,1,0,0,node_project_conflict
53_0801,53_0802,1,31,31,node_project_conflict
53_A809,53_A810,1,0,0,node_project_conflict
55_0113,55_0116,1,1,1,node_project_conflict
55_0113,55_0118,1,1,1,node_project_conflict
55_0113,55_0119,1,1,1,node_project_conflict
55_0113,55_0120,1,1,1,node_project_conflict
55_0113,55_0121,1,1,1,node_project_conflict
55_0113,55_0122,1,1,1,node_project_conflict
55_0114,55_0115,1,1,1,node_project_conflict
55_0114,55_0117,1,1,1,node_project_conflict
55_0114,55_0123,1,1,1,node_project_conflict
55_0114,55_0124,1,1,1,node_project_conflict
55_0114,55_C901,1,1,1,node_project_conflict
55_0114,55_C902,1,1,1,node_project_conflict
55_0114,55_C903,1,1,1,node_project_conflict
55_0114,55_C959,1,1,1,node_project_conflict
55_0115,55_0117,1,1,1,node_project_conflict
55_0115,55_0119,1,1,1,node_project_conflict
55_0115,55_0121,1,1,1,node_project_conflict
55_0115,55_0123,1,1,1,node_project_conflict
55_0115,55_0124,1,1,1,node_project_conflict
55_0115,55_C901,1,1,1,node_project_conflict
55_0115,55_C959,1,1,1,node_project_conflict
55_0116,55_0118,1,1,1,node_project_conflict
55_0116,55_0119,1,1,1,node_project_conflict
55_0116,55_0120,1,1,1,node_project_conflict
55_0116,55_0121,1,1,1,node_project_conflict
55_0116,55_0122,1,1,1,node_project_conflict
55_0117,55_0119,1,1,1,node_project_conflict
55_0117,55_0123,1,1,1,node_project_conflict
55_0117,55_0124,1,1,1,node_project_conflict
55_0117,55_C901,1,1,1,node_project_conflict
