num_closed_nodes,closed_demand,closed_asset,closed_project_load,closed_lane_exposure,closed_speed_exposure,closed_total_degree,first_hop_demand,first_hop_asset,first_hop_degree,second_hop_demand,second_hop_asset,second_hop_degree,first_hop_spatial,first_hop_diversion,route_concentration,closed_tb_degree_days_over_10c_yr,firsthop_tb_degree_days_over_10c_yr,closed_tb_coldest_air_temp,firsthop_tb_coldest_air_temp,closed_tb_high_temp_7days,firsthop_tb_high_temp_7days,closed_tb_max_avg_temp_high_7days,firsthop_tb_max_avg_temp_high_7days,closed_tb_max_temp_high_7days,firsthop_tb_max_temp_high_7days,closed_tb_min_surface_50_temp,firsthop_tb_min_surface_50_temp,closed_tb_min_surface_98_temp,firsthop_tb_min_surface_98_temp,closed_tb_stddev_high_temp_7days,firsthop_tb_stddev_high_temp_7days,closed_tb_stddev_coldest_air_temp,firsthop_tb_stddev_coldest_air_temp,closed_hu_rel_hum_avg_avg,firsthop_hu_rel_hum_avg_avg,closed_pr_precipitation,firsthop_pr_precipitation,closed_pr_evaporation,firsthop_pr_evaporation,closed_pr_pr_days,firsthop_pr_pr_days,closed_wi_wi_velocity_avg,firsthop_wi_wi_velocity_avg,closed_so_cloud_cover_avg,firsthop_so_cloud_cover_avg,closed_so_shortwave_surface_avg,firsthop_so_shortwave_surface_avg,closed_ty_temp_avg,firsthop_ty_temp_avg,closed_ty_temp_mean_avg,firsthop_ty_temp_mean_avg,closed_ty_freeze_index,firsthop_ty_freeze_index,closed_ty_freeze_thaw,firsthop_ty_freeze_thaw
-0.75676715,-0.9054297,-0.5878298,-1.0430539,-0.99767464,-0.7595731,-0.51922923,-0.88403726,-0.52930796,-0.50313824,-0.8773975,-0.5151898,-0.4961635,-0.49840412,0.0,-0.5587347,-0.22806638,-0.048480965,0.280622,0.12615307,-0.09309433,0.11829148,0.017726732,0.24870563,0.019233001,0.25076166,0.290568,0.15113257,0.20149478,0.03295087,-0.2543596,-0.07109329,0.031690024,0.25600284,0.3950236,0.6882741,0.525816,0.8279029,0.32166588,0.5898441,0.136796,0.3881295,1.3372971,1.7686442,0.18099217,0.35485244,0.055943437,0.2881583,0.1959532,0.43348494,0.17152506,0.40491903,-0.5341281,-0.5015789,-0.5940678,-0.50551885
-0.08745662,0.438284,-0.6088955,1.0479865,-0.6259628,-0.10129503,0.1189059,0.6512331,-0.5440324,0.1594366,0.6799394,-0.53040326,0.1412656,0.14431135,0.0,0.1204404,-0.40338543,-0.29505572,0.7848536,0.6914128,-0.41037264,-0.29144835,-0.46499038,-0.34755588,-0.46943405,-0.35186028,0.7412014,0.651642,0.73618704,0.63923264,-0.5663726,-0.45058548,-0.75805503,-0.6582661,-0.596949,-0.48486722,-0.13185547,0.002611329,-0.50135875,-0.39386028,-0.512552,-0.39490828,-0.436896,-0.3329159,-0.6143283,-0.56500846,-0.48364654,-0.37074482,-0.32987916,-0.22852518,-0.33314428,-0.23232879,-0.6131617,-0.5488164,-0.7397619,-0.6632384
0.5818539,1.4096408,0.83912176,-0.5605061,0.4891728,0.7963569,0.43797347,1.2203865,1.4286411,0.7425587,1.6319485,1.4835427,0.81927514,0.67742455,0.0,0.7996155,0.0898329,0.25774267,-0.06389818,-0.17413054,0.13296206,0.3008624,0.14221987,0.30986065,0.13767879,0.30494922,-0.025834154,-0.12091369,-0.051268887,-0.16012205,-0.13612305,0.005522885,0.110315055,0.23195674,-0.21646634,-0.0914571,-0.5958754,-0.51219404,-0.4841124,-0.39873293,0.136796,0.3009827,0.0589965,0.2108805,-0.6143283,-0.5945061,0.32019252,0.4995169,-0.06984165,0.08153646,-0.05548228,0.09752124,-0.170682,-0.14801782,0.8979117,1.0500948
-0.08745662,0.53013235,1.5546489,0.24374022,0.117460944,0.13807882,-0.20016167,0.295616,1.4189905,-0.4223253,0.2366556,1.3510896,-0.4692659,-0.41955113,0.0,0.1204404,0.8147896,0.5706465,-0.94459236,-0.46396288,0.8144015,0.50817263,0.7887379,0.48423523,0.7877778,0.47864488,-0.9494728,-0.459959,-0.93108064,-0.46048135,0.70138544,0.165202,0.7672713,0.35304025,0.61181515,0.25974268,0.55676514,0.24585997,0.3656556,0.045646794,0.786144,0.47059998,0.58243847,0.11564654,0.7490782,0.7642152,0.73304766,0.46073377,0.6757272,0.5163662,0.66962796,0.50263,0.9954978,0.67697144,0.41635755,-0.017845389
-0.75676715,-0.9505511,-0.6551705,-1.0430539,-0.99767464,-0.7595731,-0.9180637,-0.949792,-0.63790756,-0.5452861,-0.9426969,-0.62458044,-0.55864555,-0.4881743,0.0,-1.2379098,0.13853817,0.18782069,-0.13006435,-0.17688775,0.101343155,0.15147656,0.12974826,0.18065864,0.13309923,0.18418202,-0.08016586,-0.12390582,-0.12418147,-0.17146169,0.31054825,0.36854553,0.30775136,0.36193374,0.33648777,0.39298147,0.7970162,0.8639153,0.6870866,0.74981225,0.136796,0.18827815,-0.95482814,-0.9270172,0.46503523,0.522364,0.08139703,0.129562,0.21130598,0.2601095,0.21279915,0.26141235,-0.38558033,-0.3643472,0.092626125,0.13102332
-1.4260777,-0.92092204,-0.6109512,-1.2039031,-0.99767464,-1.4178512,-1.7157326,-0.9538311,-0.64457846,-1.6754917,-0.9243804,-0.5938964,-1.6455718,-1.6993787,0.0,-1.5774974,-0.2841398,-0.20423108,0.5931999,0.5296725,-0.43072504,-0.35166994,-0.4567502,-0.37754813,-0.4610034,-0.38177636,0.6197541,0.56326103,0.63410944,0.5722171,-0.5203917,-0.4435932,-0.6724411,-0.6068222,-0.6611293,-0.59149075,-0.76204515,-0.7096169,-0.7098064,-0.6502547,-0.512552,-0.43422186,-0.11732085,-0.03402914,-0.6143283,-0.5931126,-0.39549765,-0.31560853,-0.23104574,-0.15488571,-0.2318352,-0.15582842,-0.5979706,-0.57079065,-0.57624906,-0.51608235
-1.4260777,-0.73641527,-0.33558726,-0.0779583,-0.99767464,-1.4178512,-1.2371312,-0.69817466,-0.24278456,-1.3632982,-0.7578292,-0.3446849,-1.383066,-1.3265275,0.0,-1.5774974,-0.6295953,-0.67359924,0.44261497,0.42588595,-0.5757354,-0.6344055,-0.553739,-0.61964285,-0.55197144,-0.61777776,0.38005546,0.36025515,0.42509338,0.4153016,-0.5335291,-0.56380266,-0.49072984,-0.4793344,-0.37764883,-0.47271657,-0.13105868,-0.26908356,-0.36125275,-0.40244552,-0.512552,-0.5872827,-0.70137197,-0.8929819,0.06737499,0.056383297,-0.58285666,-0.6421777,-0.5736044,-0.6549869,-0.5789126,-0.6567862,-0.26841232,-0.19386955,-0.28051847,-0.32162073
-0.75676715,-0.45746395,0.08072866,-0.5605061,-0.2542509,-0.7595731,-0.7585299,0.111589335,1.1150546,-0.83184123,-0.19136469,0.63388395,-0.72024286,-0.8029787,0.0,-0.8983223,-0.06305165,-0.048843704,-0.35366023,-0.3573896,-0.0029625825,0.009748419,0.056477677,0.06794761,0.06149045,0.07292598,-0.3805881,-0.3832472,-0.3818059,-0.38545856,0.093781285,0.109593295,0.49645156,0.5017802,0.33147052,0.34028295,0.56979305,0.58139145,0.3254705,0.33920118,0.136796,0.14623138,0.5659088,0.57311755,1.0899299,1.1117905,0.005184304,0.016198816,-0.08423483,-0.06887991,-0.100508615,-0.08479431,0.19219413,0.18910384,0.3681422,0.3644328
-1.4260777,-0.8822125,-0.5531798,-1.3647524,-0.99767464,-1.4178512,-1.7157326,-0.7282191,-0.27196097,-1.6098092,-0.83074033,-0.4371005,-1.6313679,-1.7025038,0.0,-1.5774974,-0.52415425,-0.4613539,0.39013836,0.327174,-0.54484344,-0.4772332,-0.52890724,-0.45942682,-0.5257427,-0.45603153,0.36407554,0.30561852,0.3934979,0.33021012,-0.35617435,-0.28227225,-0.38764367,-0.3172608,-0.38956502,-0.31514716,-0.11563531,-0.034430265,-0.27629772,-0.2018858,-0.512552,-0.44128314,-0.44791582,-0.3943504,0.095779285,0.16338427,-0.5556147,-0.4878533,-0.466135,-0.40581462,-0.4747894,-0.41490725,-0.39789286,-0.3699346,-0.31870145,-0.25980645
-0.08745662,-0.42263073,-0.6590881,-0.7213553,-0.2542509,-0.10129503,0.1189059,-0.3118416,-0.6664822,-0.26825482,-0.32545853,-0.67812574,-0.16042377,-0.28595853,0.0,-0.5587347,-0.3517262,-0.7470932,0.47683883,0.7466146,-0.45725575,-0.8151881,-0.47245106,-0.82443684,-0.47588718,-0.8259397,0.49511078,0.71818256,0.5052972,0.7590261,-0.5335291,-0.80651677,-0.45229092,-0.7729362,-0.4000179,-0.7827619,-0.13693023,-0.5986913,-0.15042877,-0.6205736,-0.512552,-0.8425571,-0.95482814,-0.86509687,-0.35868958,-0.4978902,-0.50538886,-0.8300186,-0.25311536,-0.6624776,-0.25810054,-0.6656845,-0.59138685,-0.58341205,-0.600207,-0.73156434
