origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
8_7776,8_0217,8,1.2360973316578363,1045451.1908354211,1292279.4273701715
8_7776,8_0812,8,1.2301422815345098,996613.1747663785,1225976.004614464
8_7776,8_0811,8,1.2289878456918997,996613.1747663785,1224825.4786442963
40_4163,40_0113,40,3.1520277957747336,307518.1191621606,969305.6593034969
40_4163,40_0122,40,3.148558548096401,307497.0290831467,968172.3994339892
40_4163,40_0114,40,3.1791362463776545,266303.9225932115,846616.452868628
40_4163,40_0118,40,3.167505450890478,266303.9225932115,843519.1264075134
40_4163,40_0116,40,3.1640588189829932,266303.9225932115,842601.2748108153
40_4163,40_0117,40,3.1566983295820235,266303.9225932115,840641.1476111313
40_4163,40_0119,40,3.1391454944641883,266303.9225932115,835966.75876662
40_4163,40_0120,40,3.1344529410247572,266303.9225932115,834717.1133787212
40_4163,40_0124,40,3.132850257116525,266290.6740027213,834248.8065171582
40_4163,40_0123,40,3.1289947127824593,266290.6740027213,833222.1110177925
40_4163,40_0121,40,3.128831808031537,266303.9225932115,833220.1836132085
40_4154,40_4163,40,2.1962478993414978,368060.26081495784,808351.574645935
40_5021,40_4158,40,0.9909162162214257,616581.3671061557,610980.4752854656
40_4154,40_0113,40,0.9557798964332365,317284.96589707746,303254.59184493165
40_4154,40_0122,40,0.9523106487549039,317263.2059922663,302133.1295245558
37_1992,37_0902,37,0.47124665711466507,637264.4808787007,300308.7563120001
4_0214,4_0268,4,0.059588496481245555,4869796.939965615,290183.8778215214
4_0268,4_0222,4,0.056591664194936823,4775309.309939332,270242.70089504216
40_4154,40_0114,40,0.982888347036157,274761.7968933061,270060.1683771459
40_4154,40_0118,40,0.9712575515489805,274761.7968933061,266864.47010979074
40_4154,40_0116,40,0.9678109196414961,274761.7968933061,265917.4673336605
40_4154,40_0117,40,0.9604504302405263,274761.7968933061,263895.08603983594
40_4154,40_0119,40,0.9428975951226908,274761.7968933061,259072.2375222875
40_4154,40_0120,40,0.9382050416832595,274761.7968933061,257782.9031072515
40_4154,40_0124,40,0.9366023577750272,274748.1275245114,257329.74403373126
24_2401,24_5807,24,0.6247539253905626,411726.8418535731,257227.9606366792
40_4154,40_0123,40,0.9327468134409618,274748.1275245114,256270.44044735903
40_4154,40_0121,40,0.9325839086900396,274761.7968933061,256238.43050545815
4_0214,4_0266,4,0.053458596333656114,4775234.19845866,255277.31741407144
4_0214,4_0265,4,0.05055763579634146,4775245.365327616,241425.11601840114
4_0222,4_0266,4,0.05046176404734737,4682581.3491109,236291.31517134377
4_0268,4_0220,4,0.04885867118741577,4775223.698399857,233311.08452647406
4_0214,4_0264,4,0.04776439611553454,4775234.19845866,228086.17779962654
4_0222,4_0265,4,0.047560803510032716,4682592.299311482,222707.85226514572
4_0268,4_0224,4,0.045681737731881125,4775231.142942481,218140.85668100935
4_0214,4_0263,4,0.04455725969824095,4775360.754777768,212776.98930342094
4_0222,4_0264,4,0.044767563829225795,4682581.3491109,209627.75943186448
53_3014,53_0801,53,1.3722172493075182,151576.8223177673,207996.33017966108
53_3014,53_0802,53,1.368035706449763,151576.8223177673,207362.505200897
4_0268,4_0216,4,0.042656431226488746,4775223.698399857,203694.00128189274
4_0220,4_0266,4,0.04272877103982632,4682497.39999431,200077.3592989389
55_6351,55_6355,55,0.22495889677953754,875260.2889294475,196897.58899250778
4_0262,4_0214,4,0.04025213990358307,4869837.199950487,196021.36828008026
53_0207,53_0801,53,1.683886639367644,115656.25053338017,194752.0150325158
4_0263,4_0222,4,0.04156042741193221,4682705.449884775,194615.23994139556
53_0206,53_0801,53,1.6805387711649467,115633.47187142656,194326.53272434362
53_0207,53_0802,53,1.679703534738675,115656.25053338017,194268.21283554044
53_0208,53_0801,53,1.6771425045155166,115656.25053338017,193972.01368242726
53_0206,53_0802,53,1.6763556665359778,115633.47187142656,193842.8258128945
53_0208,53_0802,53,1.6729593998865477,115656.25053338017,193488.2114854519
53_0205,53_0801,53,1.6728831343840054,115632.20625863713,193439.16764168668
53_0201,53_0801,53,1.669909489302649,115634.73747036398,193099.5453947814
53_0205,53_0802,53,1.6687000297550365,115632.20625863713,192955.46602442831
53_0204,53_0801,53,1.667106599019959,115656.25053338017,192811.2984821037
53_0201,53_0802,53,1.66572638467368,115634.73747036398,192615.8331891995
53_0212,53_0801,53,1.6641241165470484,115656.25053338017,192466.35574200537
53_0204,53_0802,53,1.66292349439099,115656.25053338017,192327.49628512835
53_0209,53_0801,53,1.6613001939406717,115638.53418406859,192110.31926700813
53_0212,53_0802,53,1.6599410119180795,115656.25053338017,191982.55354503
53_0211,53_0801,53,1.658346753050007,115658.78121889404,191802.36429607405
53_0209,53_0802,53,1.6571170893117029,115638.53418406859,191626.5911793756
53_0210,53_0801,53,1.6553126093188197,115628.40933715209,191401.1639712658
53_0211,53_0802,53,1.654163648421038,115658.78121889404,191318.5515129764
53_0202,53_0801,53,1.6520056351750816,115628.40933715209,191018.78381130626
53_0210,53_0802,53,1.6511295046898509,115628.40933715209,190917.47823692724
53_0203,53_0801,53,1.648552634822533,115656.25053338017,190665.41655049886
53_0202,53_0802,53,1.6478225305461127,115628.40933715209,190535.09807696773
53_0259,53_0801,53,1.6455362614321905,115651.1889962226,190308.2251710318
53_0203,53_0802,53,1.6443695301935641,115656.25053338017,190181.6143535235
53_0259,53_0802,53,1.6413531568032216,115651.1889962226,189824.44414699596
4_0268,4_0215,4,0.0384778689410832,4869694.459272411,187375.46518700285
4_0265,4_0220,4,0.03982781050251166,4682508.3499985775,186494.0552401719
4_0224,4_0266,4,0.03955183758429168,4682504.699977239,185201.66538118216
4_0213,4_0214,4,0.037286696814248295,4869862.8197675655,181581.0984876535
4_0262,4_0222,4,0.03725530761727433,4775348.788768316,177907.08810534197
4_0220,4_0264,4,0.03703457082170475,4682497.39999431,173414.28158253763
4_0224,4_0265,4,0.03665087704697702,4682515.649998577,171618.30535864353
5_0215,5_0221,5,0.05527718666502168,3102562.5,171500.92645239632
4_0216,4_0266,4,0.0365265310788993,4682497.39999431,171035.3868077573
4_0268,4_0223,4,0.035637384816263315,4775223.698399857,170176.4845236158
55_6351,55_6352,55,0.18841969471107428,875260.2889294475,164916.27643281317
4_0213,4_0222,4,0.034289864527939556,4775373.911489554,163746.92449523363
55_6353,55_6355,55,0.18689064835024594,875260.2889294475,163577.96287324803
5_0221,5_0223,5,0.05189684856626237,3102562.5,161013.2162298644
4_0224,4_0264,4,0.033857637366170104,4682504.699977239,158538.5460972165
4_0263,4_0220,4,0.03382743440441116,4682621.498543312,158401.07158265938
4_0265,4_0216,4,0.033625570541584646,4682508.3499985775,157452.0148344363
5_0213,5_0215,5,0.04599379459080817,3413939.8272322407,157020.04715909882
4_0215,4_0266,4,0.032347968793493755,4775133.707757116,154465.87616328732
4_0268,4_0219,4,0.032191517174217504,4775227.42067262,153721.81552337698
4_0217,4_0214,4,0.030822004223391444,4869837.199950487,150098.1427441027
5_0213,5_0223,5,0.04261345649204887,3413939.8272322407,145479.77629423392
