source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
55_0259,55_0265,spatial,0.076028937912526,11,0-1 km,supported,0.026133819671756663,0.3437351670205436,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",4.407643854435109,3.8124404800320093,short_connected,39
55_0259,55_0264,spatial,0.1549155598259448,11,0-1 km,supported,0.026133819671756663,0.16869719027010124,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",4.407643854435109,0.6405132863732417,short_connected,39
55_0259,55_0263,spatial,0.2027071991806517,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136295, 3866280275, 0)","(147136295, 3866280275, 0)",4.407643854435109,5.337134518043058,same_osm_edge,39
55_0259,55_0260,spatial,0.2184552483673774,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136295, 3866280275, 0)","(147136295, 3866280275, 0)",4.407643854435109,4.799598442800104,same_osm_edge,39
55_0220,55_0259,spatial,1.208242707639381,11,1-5 km,supported,0.8647492522017418,0.7157082320747099,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",2.926888708535886,4.407643854435109,short_connected,39
55_0260,55_0265,spatial,0.1542202644012238,11,0-1 km,supported,0.026133819671756663,0.16945775429204413,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",4.799598442800104,3.8124404800320093,short_connected,39
55_0260,55_0264,spatial,0.3716827161528445,11,0-1 km,supported,0.026133819671756663,0.07031217362555496,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",4.799598442800104,0.6405132863732417,short_connected,39
55_0260,55_0263,spatial,0.4211561453561463,11,0-1 km,supported,0.0,0.0,1,1,1,"(147136295, 3866280275, 0)","(147136295, 3866280275, 0)",4.799598442800104,5.337134518043058,same_osm_edge,39
55_0224,55_0260,spatial,1.029223621484234,11,1-5 km,supported,0.8647492522017418,0.8401956913451857,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",5.0072865022319135,4.799598442800104,short_connected,39
55_0216,55_0260,spatial,1.2224405254458472,11,1-5 km,supported,0.8647492522017418,0.7073957662573002,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",4.822817840547906,4.799598442800104,short_connected,39
55_0220,55_0260,spatial,1.4073407534555749,11,1-5 km,supported,0.8647492522017418,0.6144562005174954,1,1,0,"(147176244, 147136449, 0)","(147136295, 3866280275, 0)",2.926888708535886,4.799598442800104,short_connected,39
55_0261,55_0266,spatial,0.8346387369804694,11,0-1 km,supported,0.029439068973530207,0.035271630310419064,1,1,0,"(147136449, 147101059, 0)","(147171663, 3866280278, 0)",2.3250102072154912,4.600812461854007,short_connected,39
55_0261,55_0262,spatial,0.9619528772240108,11,0-1 km,supported,0.0,0.0,1,1,0,"(147136449, 147101059, 0)","(147101059, 147128637, 0)",2.3250102072154912,4.174346750641201,short_connected,39
55_0220,55_0261,spatial,1.2191384845842457,11,1-5 km,supported,0.0,0.0,1,1,0,"(147176244, 147136449, 0)","(147136449, 147101059, 0)",2.926888708535886,2.3250102072154912,short_connected,39
55_0262,55_C960,spatial,1.0105946336343152,11,1-5 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",4.174346750641201,2.753556442789175,same_osm_edge,39
55_0263,55_0264,spatial,0.0598893328769378,11,0-1 km,supported,0.026133819671756663,0.4363685220113761,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",5.337134518043058,0.6405132863732417,short_connected,39
55_0263,55_0265,spatial,0.2731236172808745,11,0-1 km,supported,0.026133819671756663,0.09568495003081773,1,1,0,"(147136295, 3866280275, 0)","(3866280274, 147138564, 0)",5.337134518043058,3.8124404800320093,short_connected,39
55_0264,55_0265,spatial,0.2200989595609277,11,0-1 km,supported,0.0,0.0,1,1,1,"(3866280274, 147138564, 0)","(3866280274, 147138564, 0)",0.6405132863732417,3.8124404800320093,same_osm_edge,39
55_0224,55_0265,spatial,0.8925230555136822,11,0-1 km,supported,0.060399354681491164,0.06767259882909014,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",5.0072865022319135,3.8124404800320093,short_connected,39
55_0216,55_0265,spatial,1.092249841370695,11,1-5 km,supported,0.060399354681491164,0.05529811256891035,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",4.822817840547906,3.8124404800320093,short_connected,39
55_0220,55_0265,spatial,1.284271290340571,11,1-5 km,supported,0.060399354681491164,0.04703005909715079,1,1,0,"(147176244, 147136449, 0)","(3866280274, 147138564, 0)",2.926888708535886,3.8124404800320093,short_connected,39
55_0221,55_0266,spatial,1.0308864465791572,11,1-5 km,supported,0.028322520824981275,0.027473948191835615,1,1,0,"(147176244, 147136449, 0)","(147171663, 3866280278, 0)",5.215493795457644,4.600812461854007,short_connected,39
55_C901,55_C959,spatial,0.3136463832597894,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",2.8453584058961066,4.26888153660437,same_osm_edge,39
55_C901,55_C902,spatial,0.6064067427369817,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",2.8453584058961066,5.635338732337235,same_osm_edge,39
55_C901,55_C903,spatial,0.9127784875738584,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",2.8453584058961066,6.715013641947047,same_osm_edge,39
55_0124,55_C901,spatial,1.1756398839123392,11,1-5 km,supported,0.0,0.0,1,1,0,"(147128637, 147065716, 0)","(147101059, 147128637, 0)",3.9422540638885804,2.8453584058961066,short_connected,39
55_C902,55_C959,spatial,0.2927886008941948,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",5.635338732337235,4.26888153660437,same_osm_edge,39
55_C902,55_C903,spatial,0.3063815183205291,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",5.635338732337235,6.715013641947047,same_osm_edge,39
55_C902,55_C960,spatial,0.6127312503311755,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",5.635338732337235,2.753556442789175,same_osm_edge,39
55_C903,55_C960,spatial,0.3064281308782803,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",6.715013641947047,2.753556442789175,same_osm_edge,39
55_C903,55_C959,spatial,0.5991701165387033,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",6.715013641947047,4.26888153660437,same_osm_edge,39
55_C959,55_C960,spatial,0.9054938981890692,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",4.26888153660437,2.753556442789175,same_osm_edge,39
55_C901,55_C960,spatial,1.2191321399073145,11,1-5 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",2.8453584058961066,2.753556442789175,same_osm_edge,39
55_C901,55_C902,same_route,0.6064067427368675,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",2.8453584058961066,5.635338732337235,same_osm_edge,39
55_C902,55_C903,same_route,0.3063815183208849,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",5.635338732337235,6.715013641947047,same_osm_edge,39
55_C903,55_C959,same_route,0.5991701165391674,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",6.715013641947047,4.26888153660437,same_osm_edge,39
