source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
24_2401_20000701_2_1,24_5807_20020901_3_1,24_2401,24_5807,2002-09-01,2006-10-01,project_conflict
24_2401_19880801_1_1,42_1610_19881201_1_1,24_2401,42_1610,1988-12-01,2005-11-01,project_conflict
24_2401_20000701_2_1,42_1610_19881201_1_1,24_2401,42_1610,2000-07-01,2005-11-01,project_conflict
10_5004_19880901_1_1,24_2401_19880801_1_1,10_5004,24_2401,1988-09-01,1996-06-17,project_conflict
24_1634_19881101_1_1,24_A310_19881101_1_1,24_1634,24_A310,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A310_19901104_2_1,24_1634,24_A310,1990-11-04,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A310_19881101_1_1,24_1634,24_A310,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A310_19901104_2_1,24_1634,24_A310,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A320_19881101_1_1,24_1634,24_A320,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A320_19900911_2_1,24_1634,24_A320,1990-09-11,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A320_19881101_1_1,24_1634,24_A320,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A320_19900911_2_1,24_1634,24_A320,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A330_19881101_1_1,24_1634,24_A330,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A330_19900911_2_1,24_1634,24_A330,1990-09-11,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A330_19881101_1_1,24_1634,24_A330,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A330_19900911_2_1,24_1634,24_A330,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A340_19881101_1_1,24_1634,24_A340,1988-11-01,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A340_19881101_1_1,24_1634,24_A340,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A350_19881101_1_1,24_1634,24_A350,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A350_19900911_2_1,24_1634,24_A350,1990-09-11,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A350_19881101_1_1,24_1634,24_A350,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A350_19900911_2_1,24_1634,24_A350,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A311_19881101_1_1,24_1634,24_A311,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A311_19901104_2_1,24_1634,24_A311,1990-11-04,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A311_19881101_1_1,24_1634,24_A311,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A311_19901104_2_1,24_1634,24_A311,1998-05-05,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A331_19881101_1_1,24_1634,24_A331,1988-11-01,1998-05-05,project_conflict
24_1634_19881101_1_1,24_A331_19901204_2_1,24_1634,24_A331,1990-12-04,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A331_19881101_1_1,24_1634,24_A331,1998-05-05,1998-05-05,project_conflict
24_1634_19980505_2_1,24_A331_19901204_2_1,24_1634,24_A331,1998-05-05,1998-05-05,project_conflict
10_0104_19920101_1_1,24_1634_19881101_1_1,10_0104,24_1634,1992-01-01,1996-09-22,project_conflict
10_0104_19960922_2_1,24_1634_19881101_1_1,10_0104,24_1634,1996-09-22,1998-05-05,project_conflict
10_0104_19960922_2_1,24_1634_19980505_2_1,10_0104,24_1634,1998-05-05,2008-05-01,project_conflict
36_4017_19880601_1_1,42_B351_19880801_1_1,36_4017,42_B351,1988-08-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B351_19901001_2_1,36_4017,42_B351,1990-10-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B351_19940601_3_1,36_4017,42_B351,1994-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B351_19950601_4_1,36_4017,42_B351,1995-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B351_19960901_5_1,36_4017,42_B351,1996-09-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B351_19990517_6_1,36_4017,42_B351,1999-05-17,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19880801_1_1,36_4017,42_B351,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19901001_2_1,36_4017,42_B351,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19940601_3_1,36_4017,42_B351,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19950601_4_1,36_4017,42_B351,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19960901_5_1,36_4017,42_B351,1996-09-01,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B351_19990517_6_1,36_4017,42_B351,1999-05-17,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19880801_1_1,36_4017,42_B351,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19901001_2_1,36_4017,42_B351,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19940601_3_1,36_4017,42_B351,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19950601_4_1,36_4017,42_B351,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19960901_5_1,36_4017,42_B351,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B351_19990517_6_1,36_4017,42_B351,1999-05-17,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B340_19880801_1_1,36_4017,42_B340,1988-08-01,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B340_19880801_1_1,36_4017,42_B340,1996-07-25,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B340_19880801_1_1,36_4017,42_B340,1997-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_1597_19880801_1_1,36_4017,42_1597,1988-08-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_1597_19900612_2_1,36_4017,42_1597,1990-06-12,1999-06-01,project_conflict
36_4017_19880601_1_1,42_1597_19960624_3_1,36_4017,42_1597,1996-06-24,1999-06-01,project_conflict
36_4017_19880601_1_1,42_1597_19970824_4_1,36_4017,42_1597,1997-08-24,1999-06-01,project_conflict
36_4017_19880601_1_1,42_1597_19990517_5_1,36_4017,42_1597,1999-05-17,1999-06-01,project_conflict
36_4017_19960725_2_1,42_1597_19880801_1_1,36_4017,42_1597,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_1597_19900612_2_1,36_4017,42_1597,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_1597_19960624_3_1,36_4017,42_1597,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_1597_19970824_4_1,36_4017,42_1597,1997-08-24,1999-06-01,project_conflict
36_4017_19960725_2_1,42_1597_19990517_5_1,36_4017,42_1597,1999-05-17,1999-06-01,project_conflict
36_4017_19970601_3_1,42_1597_19880801_1_1,36_4017,42_1597,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_1597_19900612_2_1,36_4017,42_1597,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_1597_19960624_3_1,36_4017,42_1597,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_1597_19970824_4_1,36_4017,42_1597,1997-08-24,1999-06-01,project_conflict
