source,target,edge_role,distance_km,diversion_potential,speed_mph,travel_time_hours,capacity_proxy,demand_proxy
32_A350,32_A351,spatial,0.3280003005827966,0.5388947468932129,55.0,0.0046320555544338985,2.0,99723.1472989095
32_A350,32_A352,spatial,0.5371315042553051,0.5374802009109888,55.0,0.0075854289259078694,2.0,99723.1472989095
32_A350,32_AA02,spatial,32.7199039104273,0.2,62.5,0.4066251247148185,2.0,414001.77357526764
32_A350,32_AA59,spatial,32.13543182316209,0.2,62.5,0.39936162430763034,2.0,414001.77357526764
32_A351,32_A352,spatial,0.2117628047161924,0.8477500201998904,55.0,0.0029905371247077065,2.0,83240.0
32_A351,32_AA02,spatial,32.74971221308059,0.2,62.5,0.4069955660467098,2.0,345571.80118985404
32_A351,32_AA59,spatial,32.16352120003608,0.2,62.5,0.3997107037672099,2.0,345571.80118985404
32_A352,32_AA02,spatial,32.72791216420512,0.2,62.5,0.40672464692613275,2.0,345571.80118985404
32_A352,32_AA59,spatial,32.1406448620391,0.2,62.5,0.39942640911229577,2.0,345571.80118985404
32_A410,32_A455,spatial,0.1026999807149994,0.848908812704903,55.0,0.0014503401834263991,2.0,713827.36
32_A410,32_A456,spatial,0.0586774660707891,0.8493765519229979,55.0,0.0008286494925473275,2.0,713827.36
32_A410,32_A457,spatial,0.0812124714958643,0.8491371174903565,55.0,0.0011468912650790825,2.0,713827.36
32_A410,32_A458,spatial,0.1396227314588896,0.8485165084782492,55.0,0.0019717672442075293,2.0,713827.36
32_A420,32_A458,spatial,0.1038707727836296,0.8488963730391739,55.0,0.0014668742350566863,2.0,713827.36
32_A420,32_A459,spatial,0.0561899881736325,0.8494029813756552,55.0,0.0007935210619038706,2.0,713827.36
32_A420,32_A460,spatial,0.0757207263109573,0.849195467282946,55.0,0.00106933624838524,2.0,713827.36
32_A420,32_A461,spatial,0.136043924018907,0.8485545333072991,55.0,0.001921226940277423,2.0,713827.36
32_A430,32_A452,spatial,0.103506281350385,0.8489002457606522,55.0,0.0014617268477984907,2.0,713827.36
32_A430,32_A453,spatial,0.0618144674167373,0.8493432212836971,55.0,0.0008729505632565539,2.0,713827.36
32_A430,32_A454,spatial,0.0836944920838265,0.8491107460216093,55.0,0.0011819426270146104,2.0,713827.36
32_A430,32_A455,spatial,0.1413835896134745,0.8484977993603567,55.0,0.001996634272624951,2.0,713827.36
32_A451,32_A452,spatial,0.0696530805542157,0.8492599360191114,55.0,0.0009836483018196012,2.0,713827.36
32_A451,32_A453,spatial,0.1403944108563881,0.8485083093846508,55.0,0.0019826649837311637,2.0,713827.36
32_A451,32_A454,spatial,0.2112398199290216,0.8477555769132541,55.0,0.0029831514772433758,2.0,713827.36
32_A451,32_A455,spatial,0.2806162731833256,0.8470184520974271,55.0,0.003962893218554382,2.0,713827.36
32_A452,32_A453,spatial,0.0707699670258235,0.8492480691003506,55.0,0.0009994210928057393,2.0,713827.36
32_A452,32_A454,spatial,0.1416194882189208,0.848495292937674,55.0,0.001999965658125816,2.0,713827.36
32_A452,32_A455,spatial,0.2109883950443524,0.8477582483026538,55.0,0.002979600827955904,2.0,713827.36
32_A452,32_A456,spatial,0.2829937527522318,0.8469931913770076,55.0,0.003996468240964842,2.0,713827.36
32_A453,32_A454,spatial,0.0708501317597671,0.8492472173500525,55.0,0.001000553187808315,2.0,713827.36
32_A453,32_A455,spatial,0.1402231002167164,0.8485101295601974,55.0,0.001980245716435936,2.0,713827.36
32_A453,32_A456,spatial,0.2122327592848795,0.8477450269325981,55.0,0.002997173873717847,2.0,713827.36
32_A453,32_A457,spatial,0.284070988607879,0.8469817457460413,55.0,0.004011681081683951,2.0,713827.36
32_A454,32_A455,spatial,0.0693778094243686,0.8492628607748661,55.0,0.0009797608932906516,2.0,713827.36
32_A454,32_A456,spatial,0.141390957982466,0.8484977210714363,55.0,0.0019967383295250623,2.0,713827.36
32_A454,32_A457,spatial,0.2132273281454093,0.847734459638455,55.0,0.003011219282232712,2.0,713827.36
32_A455,32_A456,spatial,0.0720134688763563,0.8492348568931888,55.0,0.0010169819598033454,2.0,713827.36
32_A455,32_A457,spatial,0.1438495721141378,0.8484715982962873,55.0,0.0020314591429651256,2.0,713827.36
32_A455,32_A458,spatial,0.2132277313205158,0.8477344553547195,55.0,0.003011224975914969,2.0,713827.36
32_A456,32_A457,spatial,0.0718385023765836,0.8492367159122488,55.0,0.0010145110640582137,2.0,713827.36
32_A456,32_A458,spatial,0.1412157819672779,0.8484995823165976,55.0,0.0019942644749806797,2.0,713827.36
32_A456,32_A459,spatial,0.2112418222060762,0.8477555556390604,55.0,0.0029831797536154885,2.0,713827.36
32_A457,32_A458,spatial,0.0693782105135172,0.8492628565132938,55.0,0.0009797665575147858,2.0,713827.36
32_A457,32_A459,spatial,0.1394033199044374,0.8485188397260153,55.0,0.0019686686906156534,2.0,713827.36
32_A457,32_A460,spatial,0.2115014375081923,0.8477527972264755,55.0,0.002986846068859853,2.0,713827.36
32_A458,32_A459,spatial,0.0700286961218289,0.8492559451037055,55.0,0.0009889527853008757,2.0,713827.36
32_A458,32_A460,spatial,0.1421233199616246,0.8484899397254076,55.0,0.0020070808242343362,2.0,713827.36
32_A458,32_A461,spatial,0.2139616994614458,0.8477266569432221,55.0,0.0030215901530136835,2.0,713827.36
32_A458,32_A462,spatial,0.2841601287096548,0.8469807986324599,55.0,0.004012939927797262,2.0,713827.36
32_A459,32_A460,spatial,0.0721051505658379,0.8492338827752379,55.0,0.001018276698491842,2.0,713827.36
32_A459,32_A461,spatial,0.1439388167421485,0.8484706500721146,55.0,0.002032719465209178,2.0,713827.36
32_A459,32_A462,spatial,0.2141369319271757,0.8477247950982738,55.0,0.003024064804758694,2.0,713827.36
32_A459,32_A463,spatial,0.2835158014078588,0.8469876446100415,55.0,0.004003840668278736,2.0,713827.36
32_A460,32_A461,spatial,0.0718390511340485,0.8492367100817007,55.0,0.0010145188136702072,2.0,713827.36
32_A460,32_A462,spatial,0.1420371162313646,0.8484908556400417,55.0,0.0020058634458756754,2.0,713827.36
32_A460,32_A463,spatial,0.2114154289658999,0.8477537110672373,55.0,0.0029856314469666827,2.0,713827.36
32_A460,32_A464,spatial,0.2840747704462892,0.8469817055640081,55.0,0.004011734489213099,2.0,713827.36
32_A461,32_A462,spatial,0.070198471062048,0.8492541412449658,55.0,0.0009913503652831143,2.0,713827.36
32_A461,32_A463,spatial,0.1395772345082627,0.8485169918833497,55.0,0.001971124731372978,2.0,713827.36
