node_id,number_of_years_in_panel,number_of_years_with_monthlyagg_missing,number_of_years_with_all_monthlyagg_missing,has_MERRA_ID_mapping,MERRA_ID,percent_missing
12_AA02,37,0,0,True,133784,0.0
12_AA03,37,0,0,True,133784,0.0
12_AA61,37,0,0,True,133784,0.0
12_B310,37,0,0,True,132638,0.0
12_B320,37,0,0,True,132638,0.0
12_B321,37,0,0,True,132638,0.0
12_B330,37,0,0,True,132638,0.0
12_B350,37,0,0,True,132638,0.0
12_B351,37,0,0,True,132638,0.0
12_B352,37,0,0,True,132638,0.0
12_B360,37,0,0,True,132638,0.0
12_C310,37,0,0,True,131487,0.0
12_C320,37,0,0,True,131487,0.0
12_C321,37,0,0,True,131487,0.0
12_C330,37,0,0,True,131487,0.0
12_C350,37,0,0,True,131487,0.0
13_0502,37,0,0,True,137241,0.0
13_0503,37,0,0,True,137241,0.0
13_0504,37,0,0,True,137241,0.0
13_0505,37,0,0,True,137241,0.0
13_0506,37,0,0,True,137241,0.0
13_0507,37,0,0,True,137241,0.0
13_0508,37,0,0,True,137241,0.0
13_0509,37,0,0,True,137241,0.0
13_0560,37,0,0,True,137242,0.0
13_0561,37,0,0,True,137241,0.0
13_0562,37,0,0,True,137241,0.0
13_0563,37,0,0,True,137241,0.0
13_0564,37,0,0,True,137241,0.0
13_0565,37,0,0,True,137241,0.0
13_0566,37,0,0,True,137241,0.0
13_1001,37,0,0,True,137243,0.0
13_1004,37,0,0,True,136090,0.0
13_1005,37,0,0,True,135515,0.0
13_1031,37,0,0,True,137819,0.0
13_3007,37,0,0,True,137818,0.0
13_3011,37,0,0,True,135517,0.0
13_3015,37,0,0,True,135518,0.0
13_3016,37,0,0,True,136665,0.0
13_3017,37,0,0,True,136668,0.0
13_3018,37,0,0,True,136669,0.0
13_3019,37,0,0,True,137819,0.0
13_3020,37,0,0,True,134939,0.0
13_4092,37,0,0,True,133787,0.0
13_4093,37,0,0,True,133786,0.0
13_4096,37,0,0,True,134361,0.0
13_4111,37,0,0,True,137243,0.0
13_4112,37,0,0,True,133790,0.0
13_4113,37,0,0,True,133790,0.0
13_4118,37,0,0,True,136091,0.0
13_4119,37,0,0,True,137241,0.0
13_4420,37,0,0,True,134943,0.0
13_5023,37,0,0,True,133790,0.0
13_7028,37,0,0,True,137820,0.0
16_1001,37,0,0,True,153318,0.0
16_1005,37,0,0,True,149287,0.0
16_1007,37,0,0,True,146985,0.0
16_1009,37,0,0,True,146988,0.0
16_1010,37,0,0,True,148142,0.0
16_1020,37,0,0,True,146986,0.0
16_1021,37,0,0,True,148142,0.0
16_3017,37,0,0,True,146988,0.0
16_3023,37,0,0,True,148710,0.0
16_5025,37,0,0,True,146989,0.0
16_6027,37,0,0,True,146991,0.0
16_9032,37,0,0,True,152742,0.0
16_9034,37,0,0,True,153895,0.0
16_A310,37,0,0,True,146986,0.0
16_A320,37,0,0,True,146986,0.0
16_A330,37,0,0,True,146986,0.0
16_A350,37,0,0,True,146986,0.0
16_B310,37,0,0,True,148142,0.0
16_B320,37,0,0,True,148142,0.0
16_B330,37,0,0,True,148142,0.0
16_B350,37,0,0,True,148142,0.0
16_C310,37,0,0,True,148142,0.0
16_C320,37,0,0,True,148142,0.0
16_C330,37,0,0,True,148142,0.0
16_C350,37,0,0,True,148142,0.0
17_0601,37,0,0,True,144148,0.0
17_0602,37,0,0,True,144148,0.0
17_0603,37,0,0,True,144148,0.0
17_0604,37,0,0,True,144148,0.0
17_0605,37,0,0,True,144148,0.0
17_0606,37,0,0,True,144148,0.0
17_0607,37,0,0,True,144148,0.0
17_0608,37,0,0,True,144148,0.0
17_0659,37,0,0,True,144148,0.0
17_0660,37,0,0,True,144148,0.0
17_0661,37,0,0,True,144148,0.0
17_0662,37,0,0,True,144148,0.0
17_0663,37,0,0,True,144148,0.0
17_0664,37,0,0,True,144148,0.0
17_1002,37,0,0,True,147026,0.0
17_1003,37,0,0,True,142418,0.0
17_4074,37,0,0,True,147026,0.0
17_4082,37,0,0,True,142418,0.0
17_5020,37,0,0,True,142418,0.0
17_5151,37,0,0,True,145872,0.0
17_5217,37,0,0,True,144723,0.0
17_5423,37,0,0,True,144722,0.0
17_5453,37,0,0,True,142419,0.0
17_5843,37,0,0,True,146451,0.0
17_5849,37,0,0,True,144724,0.0
17_5854,37,0,0,True,145298,0.0
17_5869,37,0,0,True,145298,0.0
17_5908,37,0,0,True,141267,0.0
17_6050,37,0,0,True,142417,0.0
17_7937,37,0,0,True,145297,0.0
17_9267,37,0,0,True,145872,0.0
17_9327,37,0,0,True,144723,0.0
17_A310,37,0,0,True,142418,0.0
17_A320,37,0,0,True,142418,0.0
17_A330,37,0,0,True,142418,0.0
17_A340,37,0,0,True,142418,0.0
17_A350,37,0,0,True,142418,0.0
17_B310,37,0,0,True,147026,0.0
17_B320,37,0,0,True,147026,0.0
17_B330,37,0,0,True,147026,0.0
17_B340,37,0,0,True,147026,0.0
17_B350,37,0,0,True,147026,0.0
18_0601,37,0,0,True,145303,0.0
18_0602,37,0,0,True,145303,0.0
18_0603,37,0,0,True,145303,0.0
18_0604,37,0,0,True,145303,0.0
18_0605,37,0,0,True,145303,0.0
18_0606,37,0,0,True,145303,0.0
18_0607,37,0,0,True,145303,0.0
18_0608,37,0,0,True,145303,0.0
18_0659,37,0,0,True,145303,0.0
18_0660,37,0,0,True,145303,0.0
18_0661,37,0,0,True,145303,0.0
18_0662,37,0,0,True,145303,0.0
18_0663,37,0,0,True,145303,0.0
18_0664,37,0,0,True,145303,0.0
18_0665,37,0,0,True,145303,0.0
18_0666,37,0,0,True,145303,0.0
18_0667,37,0,0,True,145303,0.0
18_0668,37,0,0,True,145303,0.0
18_0669,37,0,0,True,145303,0.0
18_0670,37,0,0,True,145303,0.0
18_0671,37,0,0,True,145303,0.0
18_0672,37,0,0,True,145303,0.0
18_0901,37,0,0,True,144726,0.0
18_0902,37,0,0,True,144726,0.0
18_0904,37,0,0,True,144726,0.0
18_0905,37,0,0,True,144726,0.0
18_1028,37,0,0,True,141846,0.0
18_1037,37,0,0,True,141845,0.0
18_2008,37,0,0,True,145305,0.0
18_2009,37,0,0,True,144151,0.0
18_3002,37,0,0,True,144725,0.0
18_3003,37,0,0,True,145879,0.0
18_3030,37,0,0,True,144152,0.0
18_3031,37,0,0,True,141844,0.0
18_4021,37,0,0,True,144151,0.0
18_4042,37,0,0,True,141845,0.0
18_5022,37,0,0,True,143575,0.0
18_5043,37,0,0,True,141845,0.0
18_5518,37,0,0,True,144726,0.0
18_5528,37,0,0,True,145878,0.0
18_5538,37,0,0,True,145878,0.0
18_6012,37,0,0,True,141845,0.0
18_9020,37,0,0,True,144728,0.0
18_A310,37,0,0,True,141846,0.0
18_A320,37,0,0,True,141846,0.0
18_A330,37,0,0,True,141846,0.0
18_A340,37,0,0,True,141846,0.0
18_A350,37,0,0,True,141846,0.0
18_A410,37,0,0,True,141844,0.0
18_A430,37,0,0,True,141844,0.0
18_A901,37,0,0,True,144152,0.0
18_A902,37,0,0,True,144152,0.0
18_A903,37,0,0,True,144152,0.0
18_A959,37,0,0,True,144152,0.0
18_A960,37,0,0,True,144152,0.0
18_A961,37,0,0,True,144152,0.0
19_0101,37,0,0,True,144719,0.0
19_0102,37,0,0,True,144719,0.0
19_0103,37,0,0,True,144719,0.0
19_0104,37,0,0,True,144719,0.0
19_0105,37,0,0,True,144719,0.0
19_0106,37,0,0,True,144719,0.0
19_0107,37,0,0,True,144719,0.0
19_0108,37,0,0,True,144719,0.0
19_0109,37,0,0,True,144719,0.0
19_0110,37,0,0,True,144719,0.0
19_0111,37,0,0,True,144719,0.0
19_0112,37,0,0,True,144719,0.0
19_0159,37,0,0,True,144719,0.0
19_0213,37,0,0,True,145867,0.0
19_0214,37,0,0,True,145867,0.0
19_0215,37,0,0,True,145867,0.0
19_0216,37,0,0,True,145867,0.0
19_0217,37,0,0,True,145867,0.0
19_0218,37,0,0,True,145867,0.0
19_0219,37,0,0,True,145867,0.0
19_0220,37,0,0,True,145867,0.0
19_0221,37,0,0,True,145867,0.0
19_0222,37,0,0,True,145867,0.0
19_0223,37,0,0,True,145867,0.0
19_0224,37,0,0,True,145867,0.0
19_0259,37,0,0,True,145867,0.0
19_0601,37,0,0,True,146443,0.0
19_0602,37,0,0,True,146443,0.0
19_0603,37,0,0,True,146443,0.0
19_0604,37,0,0,True,146443,0.0
19_0605,37,0,0,True,146443,0.0
19_0606,37,0,0,True,146443,0.0
19_0607,37,0,0,True,146443,0.0
19_0608,37,0,0,True,146443,0.0
19_0659,37,0,0,True,146443,0.0
19_0701,37,0,0,True,147019,0.0
19_0702,37,0,0,True,147019,0.0
19_0703,37,0,0,True,147019,0.0
19_0704,37,0,0,True,147019,0.0
19_0705,37,0,0,True,147019,0.0
19_0706,37,0,0,True,147019,0.0
19_0707,37,0,0,True,147019,0.0
19_0708,37,0,0,True,147019,0.0
19_0709,37,0,0,True,147019,0.0
19_0759,37,0,0,True,147019,0.0
19_1044,37,0,0,True,147022,0.0
19_3006,37,0,0,True,146448,0.0
19_3009,37,0,0,True,146446,0.0
19_3028,37,0,0,True,145870,0.0
19_3033,37,0,0,True,145871,0.0
19_3055,37,0,0,True,147019,0.0
19_5042,37,0,0,True,147019,0.0
19_5046,37,0,0,True,147019,0.0
19_6049,37,0,0,True,145871,0.0
19_6150,37,0,0,True,147017,0.0
19_9116,37,0,0,True,148172,0.0
19_9126,37,0,0,True,145872,0.0
19_A310,37,0,0,True,147017,0.0
19_A320,37,0,0,True,147017,0.0
19_A330,37,0,0,True,147017,0.0
19_A340,37,0,0,True,147017,0.0
19_A350,37,0,0,True,147017,0.0
19_A410,37,0,0,True,147019,0.0
19_A430,37,0,0,True,147019,0.0
19_B410,37,0,0,True,146446,0.0
19_B430,37,0,0,True,146446,0.0
1_0101,37,0,0,True,135513,0.0
1_0102,37,0,0,True,135513,0.0
1_0103,37,0,0,True,135513,0.0
1_0104,37,0,0,True,135513,0.0
1_0105,37,0,0,True,135513,0.0
1_0106,37,0,0,True,135513,0.0
1_0107,37,0,0,True,135513,0.0
1_0108,37,0,0,True,135513,0.0
1_0109,37,0,0,True,135513,0.0
1_0110,37,0,0,True,135513,0.0
1_0111,37,0,0,True,135513,0.0
1_0112,37,0,0,True,135513,0.0
1_0161,37,0,0,True,135513,0.0
1_0162,37,0,0,True,135513,0.0
1_0163,37,0,0,True,135513,0.0
1_0502,37,0,0,True,133784,0.0
1_0503,37,0,0,True,133784,0.0
1_0504,37,0,0,True,133784,0.0
1_0505,37,0,0,True,133784,0.0
1_0506,37,0,0,True,133784,0.0
1_0507,37,0,0,True,133784,0.0
1_0508,37,0,0,True,133784,0.0
1_0509,37,0,0,True,133784,0.0
1_0563,37,0,0,True,133784,0.0
1_0564,37,0,0,True,133784,0.0
1_0601,37,0,0,True,137239,0.0
1_0602,37,0,0,True,137239,0.0
1_0603,37,0,0,True,137239,0.0
1_0604,37,0,0,True,137239,0.0
1_0605,37,0,0,True,137239,0.0
