source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
30_0113,30_0115,spatial,0.633849621199923,15,0.8883677373233241,16,0.5974424234102538
30_0113,30_0117,spatial,0.8453906375068274,15,0.8690801075702953,16,0.7968085398388665
30_0113,30_0114,spatial,1.0630960040239088,15,0.7596311323530739,16,0.8626795775219096
30_0113,30_0124,spatial,1.2712317866789122,15,0.8920198330573185,16,0.7104556142122955
30_0113,30_0123,spatial,1.494427027400674,15,0.8603675064919208,16,0.42536492923250613
30_0113,30_0119,spatial,1.6944895079670226,15,0.8591224987633451,16,0.682904699401147
30_0114,30_0124,spatial,0.2081364072271803,15,0.8527916935179938,16,0.7102920984395195
30_0114,30_0117,spatial,0.2177061454199563,15,0.8545126343166463,16,0.8778973489943817
30_0114,30_0115,spatial,0.4292464385712491,15,0.8796916234630396,16,0.6691048138434915
30_0114,30_0123,spatial,0.4313324914364522,15,0.699922128070661,16,0.4330734851739798
30_0114,30_0119,spatial,0.6313942341776574,15,0.7998203536995843,16,0.7377425017090828
30_0114,30_0116,spatial,0.6424230877710783,15,0.6834691891615834,16,0.7480794019542315
30_0114,30_0120,spatial,0.8521634425955338,15,0.5391174607230672,16,0.6787271903430989
30_0114,30_0118,spatial,0.8531617113571014,15,0.6430343821620828,16,0.7635702176047071
30_0115,30_0117,spatial,0.2115419988902926,15,0.9759604280851313,16,0.9134575970850263
30_0115,30_0116,spatial,0.2131775094232223,15,0.6785088547005608,16,0.5263450937827471
30_0115,30_0118,spatial,0.4239153820353059,15,0.7550290525463933,16,0.4379303248759228
30_0115,30_0124,spatial,0.6373824797475602,15,0.8912593004829208,16,0.9205270710820237
30_0115,30_0123,spatial,0.8605781459029003,15,0.7968889453653076,16,0.8749052124228706
30_0115,30_0119,spatial,1.0606399888270224,15,0.843746347858068,16,0.879144318423989
30_0116,30_0118,spatial,0.2107391735871849,15,0.9423691304920659,16,0.9576741878720212
30_0116,30_0117,spatial,0.4247173774979175,15,0.6646196021989595,16,0.6952957428158232
30_0116,30_0124,spatial,0.8505585655873878,15,0.9215128304847372,16,0.771368451055445
30_0116,30_0123,spatial,1.0737536635489215,15,0.9154690502229221,16,0.4793350241063509
30_0116,30_0119,spatial,1.273817107562245,15,0.716454236120786,16,0.5183589544565866
30_0117,30_0124,spatial,0.4258411881175825,15,0.882905014751443,16,0.9020731284974667
30_0117,30_0118,spatial,0.6354563230186371,15,0.7304490299838501,16,0.6585983521998702
30_0117,30_0123,spatial,0.6490364654022752,15,0.7740510139312439,16,0.7267040295183901
30_0117,30_0119,spatial,0.8491003620737197,15,0.8616206381037192,16,0.8921751087195741
30_0118,30_0124,spatial,1.061297468170482,15,0.9173352624111822,16,0.6521795908247363
30_0118,30_0123,spatial,1.2844927334314182,15,0.9497478233154265,16,0.32566195674389425
30_0118,30_0119,spatial,1.484555350670818,15,0.7192886929942469,16,0.43305837863222
30_0119,30_0123,spatial,0.2000788500051528,15,0.8502885081176821,16,0.8015469838282848
30_0119,30_0120,spatial,0.2207693198933746,15,0.7584137152472742,16,0.8294112487095854
30_0119,30_0124,spatial,0.4232611105103896,15,0.8674471161667106,16,0.8497057489794544
30_0119,30_0122,spatial,0.4253420214348688,15,0.9007073241942736,16,0.8794272428069917
30_0119,30_0121,spatial,0.6433396824113292,15,0.7360950101563454,16,0.7930082717732898
30_0119,30_0902,spatial,0.9568762857211076,10,-0.19186363319048289,11,0.44727116789418664
30_0120,30_0122,spatial,0.2045728036658834,15,0.7041655597116732,16,0.8994900844321079
30_0120,30_0123,spatial,0.4208406434204627,15,0.5758283017929046,16,0.5397265336335757
30_0120,30_0121,spatial,0.4225707793322005,15,0.8073554831303521,16,0.9013248246091515
30_0120,30_0124,spatial,0.6440295774016954,15,0.6150461213196786,16,0.6998250794146009
30_0120,30_0902,spatial,0.7361113638744727,10,-0.5501569168913993,11,0.7621624804958387
30_0120,30_0903,spatial,1.0673114811427766,10,0.23305645173745607,11,0.5331685609329494
30_0121,30_0122,spatial,0.2180008155459977,15,0.7627211135058083,16,0.9163755707714413
