source,target,distance_km,suspicious_locality,needs_real_map_check,source_route_key,target_route_key,source_ROUTE_NO,target_ROUTE_NO,source_ROUTE_SIGNING,target_ROUTE_SIGNING,same_route_number,same_route_signing,source_latitude,source_longitude,target_latitude,target_longitude,source_functional_class,target_functional_class
49_D441,49_D443,0.2447489649731078,very_local,False,4_154,4_154,154,154,4,4,True,True,40.6904296875,-111.98177,40.692630767822266,-111.98177,14,14
20_B340,20_B350,0.2447489649731078,very_local,False,3_400,3_400,400,400,3,3,True,True,37.646339416503906,-99.75372,37.64413833618164,-99.75372,2,2
48_0119,48_0120,0.2447258596316777,very_local,False,3_281,3_281,281,281,3,3,True,True,26.704320907592773,-98.11115,26.70648956298828,-98.11073,2,2
27_0702,27_0703,0.2445794083465688,very_local,False,2_94,2_94,94,94,2,2,True,True,46.74024963378906,-96.51705,46.73870849609375,-96.51476,1,1
8_A330,8_A340,0.2445457974889031,very_local,False,3_50,3_50,50,50,3,3,True,True,38.67301940917969,-108.00204,38.67108917236328,-108.00069,2,2
48_0164,48_0165,0.2444442504955941,very_local,False,3_281,3_281,281,281,3,3,True,True,26.716249465942383,-98.10893,26.718420028686523,-98.10854,2,2
27_0501,27_0559,0.2444252080838049,very_local,False,3_2,3_2,2,2,3,3,True,True,47.52146911621094,-95.15112,47.520999908447266,-95.14794,2,2
20_A310,20_A320,0.2441376271091354,very_local,False,4_68,4_68,68,68,4,4,True,True,38.62295913696289,-95.24326,38.622928619384766,-95.24045,6,6
29_A801,29_A802,0.244032844403507,very_local,False,3_61,3_61,61,61,3,3,True,True,39.53654861450195,-91.36327,39.534950256347656,-91.36132,9,9
35_0801,35_0802,0.2439967137480246,very_local,False,10_1014,10_1014,1014,1014,10,10,True,True,32.19306945800781,-108.30108,32.19355010986328,-108.29855,9,9
4_B320,4_B350,0.2439510138381255,very_local,False,2_40,2_40,40,40,2,2,True,True,35.16056823730469,-113.68334,35.1602783203125,-113.686,1,1
21_A310,21_A350,0.243888549200151,very_local,False,4_11,4_11,11,11,4,4,True,True,37.48012924194336,-83.70691,37.48139190673828,-83.70917,7,7
12_B310,12_B320,0.2437569012094956,very_local,False,3_17,3_17,17,17,3,3,True,True,30.083070755004883,-81.70675,30.08087921142578,-81.70681,2,2
30_A330,30_A350,0.2436453808428353,very_local,False,3_87,3_87,87,87,3,3,True,True,47.24570083618164,-110.47356,47.24723815917969,-110.47586,2,2
49_D445,49_D448,0.2436101864426791,very_local,False,4_154,4_154,154,154,4,4,True,True,40.687129974365234,-111.98177,40.689308166503906,-111.98146,14,14
40_0115,40_0116,0.2435689112016406,very_local,False,3_62,3_62,62,62,3,3,True,True,34.633670806884766,-98.69167,34.63338851928711,-98.69431,2,2
51_0123,51_0124,0.2434829792975698,very_local,False,4_29,4_29,29,29,4,4,True,True,36.6402702331543,-79.3648,36.63808059692383,-79.36482,2,2
40_C320,40_C330,0.2434292163120998,very_local,False,3_60,3_60,60,60,3,3,True,True,36.688270568847656,-97.26541,36.68825912475586,-97.26268,2,2
48_Q310,48_Q320,0.2433834266994226,very_local,False,3_84,3_84,84,84,3,3,True,True,31.561439514160156,-98.66586,31.563379287719727,-98.66705,2,2
21_A320,21_A350,0.2433565218321665,very_local,False,4_11,4_11,11,11,4,4,True,True,37.48234939575195,-83.71165,37.48139190673828,-83.70917,7,7
53_A330,53_A350,0.2427589766314265,very_local,False,3_195,3_195,195,195,3,3,True,True,47.56237030029297,-117.39614,47.564510345458984,-117.39678,2,2
28_1802,28_A310,0.2427192762191393,very_local,False,3_84,3_84,84,84,3,3,True,True,31.70185089111328,-89.42216,31.702800750732425,-89.41985,2,2
19_0217,19_0218,0.2425403206253596,very_local,False,3_65,3_65,65,65,3,3,True,True,41.608028411865234,-93.49538,41.61017990112305,-93.4949,12,12
