source,target,distance_km,distance_bin,bbox_diagonal_km,src_snap_m,dst_snap_m,same_osm_edge,path_exists,osm_path_km,detour_ratio,topology_status,route_change_count_ref,route_change_count_name,unique_ref_count,unique_name_count,dominant_ref,dominant_name,src_ref,dst_ref,src_name,dst_name,endpoint_ref_overlap,endpoint_name_overlap,path_step_count,audit_verdict
6_0566,6_0567,0.3101810305883143,0-1 km,23.264511251914698,2.5732888283035713,3.2367908292165404,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 40,needles freeway,i 40,i 40,needles freeway,needles freeway,1.0,1.0,0.0,very_strong_local_neighbour
24_1634,24_A310,0.3124329298383798,0-1 km,22.869839917682164,2.260479121763574,4.484551979526279,0.0,1,4.858017574994326,15.54899343519058,long_connected,0.0,0.0,1.0,1.0,md 90,ocean city expressway,md 90,md 90,ocean city expressway,ocean city expressway,1.0,1.0,1.0,weak_local_neighbour
4_0218,4_0220,0.317596491511922,0-1 km,23.430279172483868,5.146062690848466,3.553194016680781,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 10,pearl harbor memorial highway,i 10,i 10,pearl harbor memorial highway,pearl harbor memorial highway,1.0,1.0,0.0,very_strong_local_neighbour
32_A350,32_A351,0.3280003005827966,0-1 km,22.71655529312209,0.13907327454216137,0.7866755573140309,0.0,1,0.04478567955142442,0.1365415808212628,short_connected,0.0,0.0,1.0,1.0,nv 659,north mccarran boulevard,nv 659,nv 659,north mccarran boulevard,north mccarran boulevard,1.0,1.0,1.0,strong_local_neighbour
48_0164,48_0167,0.3662604216879025,0-1 km,24.161765115928617,2.6571292131349815,5.026937271399842,0.0,1,1.916396289267273,5.2323324492327234,long_connected,0.0,0.0,1.0,0.0,us 281,,us 281,us 281,,,1.0,0.0,1.0,weak_local_neighbour
49_C448,49_C451,0.3772696686443746,0-1 km,22.491850695873925,0.8606423948847213,1.1261438608553487,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 15,veterans memorial highway,i 15,i 15,veterans memorial highway,veterans memorial highway,1.0,1.0,0.0,very_strong_local_neighbour
49_C440,49_C453,0.3780705369821802,0-1 km,22.49327336095894,1.3073590548546448,1.4978328156866056,0.0,1,1.5443987854264056,4.0849487975287495,long_connected,0.0,0.0,1.0,1.0,sr 13,20800 north,i 15,i 15,veterans memorial highway,veterans memorial highway,1.0,1.0,3.0,ambiguous_but_close
34_0508,34_0509,0.3820565668274756,0-1 km,22.640274114238963,8.758272880955738,4.209036953766239,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 195,central jersey expressway,i 195,i 195,central jersey expressway,central jersey expressway,1.0,1.0,0.0,very_strong_local_neighbour
17_0603,17_0662,0.3957699493017053,0-1 km,22.73555683413599,3.4299247929722094,3.786460935583384,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,i 57,,i 57,i 57,,,1.0,0.0,0.0,very_strong_local_neighbour
37_A960,37_A961,0.4146166361310109,0-1 km,23.34946567298666,7.229308114304564,7.337331315919297,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,us 1,jefferson davis highway,us 1,us 1,jefferson davis highway,jefferson davis highway,1.0,1.0,0.0,very_strong_local_neighbour
