treated_node_id,control_node_id,state_code,functional_class,treated_cracking_change,control_cracking_change,treated_traffic_change,control_traffic_change,treated_esal_change,control_esal_change
28_1001,28_1802,28,2.0,26.0,-3.0,-110.0,-48.0,-20476.0,-29859.0
56_2020,56_2015,56,1.0,0.0,38.0,36.0,66.0,72978.0,18863.0
6_7491,6_3013,6,1.0,4.0,0.0,562.0,-309.0,209190.0,-42000.0
29_A603,29_A330,29,2.0,0.0,22.0,-35.0,36.0,-6935.0,6458.0
29_A604,29_A330,29,2.0,0.0,22.0,-35.0,36.0,-6964.0,6458.0
29_A606,29_A330,29,2.0,1.0,22.0,-35.0,36.0,-6927.0,6458.0
29_A607,29_A330,29,2.0,2.0,22.0,-35.0,36.0,-6935.0,6458.0
29_A601,29_AA61,29,2.0,0.0,-25.0,6.0,193.0,1493.0,
29_A602,29_AA65,29,2.0,0.0,-9.0,6.0,193.0,1493.0,
34_1033,34_1030,34,2.0,-46.0,-3.0,21.0,-91.0,11367.0,60358.0
51_1419,51_1417,51,2.0,-6.0,-3.0,0.0,-294.0,-107.0,-212142.0
53_6056,53_1006,53,2.0,-53.0,,-8.0,8.0,-11000.0,-18165.0
56_6031,56_6029,56,2.0,0.0,8.0,-8.0,9.0,-1763.0,-3250.0
4_1017,4_1024,4,1.0,-23.0,-30.0,396.0,65.0,100088.0,-379400.0
6_2051,6_9049,6,12.0,-31.0,-6.0,-241.0,335.0,,89617.0
56_2019,56_2017,56,6.0,0.0,,-6.0,-133.0,39516.0,-12896.0
37_1801,37_1006,37,11.0,0.0,0.0,41.0,1037.0,-58000.0,162757.0
28_3087,28_3090,28,2.0,-54.0,-33.0,3.0,-49.0,383.0,-1205.0
28_3081,28_2807,28,2.0,,1.0,458.0,93.0,115348.0,33805.0
4_1002,4_7614,4,1.0,0.0,0.0,826.0,190.0,431105.0,-249862.0
6_2041,6_2002,6,2.0,-1.0,0.0,-141.0,8.0,,2657.0
4_1022,4_7614,4,1.0,0.0,0.0,312.0,190.0,71828.0,-249862.0
47_9025,47_6022,47,2.0,-1.0,,-12.0,-28.0,2248.0,-128861.0
47_3101,47_6022,47,2.0,0.0,,17.0,-28.0,3246.0,-128861.0
20_1009,20_6026,20,2.0,,,26.0,15.0,3606.0,2920.0
6_8153,6_7454,6,6.0,6.0,-36.0,51.0,1.0,7000.0,-386.0
31_7050,31_3018,31,1.0,0.0,0.0,318.0,-67.0,-165528.0,28000.0
8_A410,8_A414,8,2.0,0.0,0.0,255.0,15.0,245790.0,64045.0
8_A411,8_A414,8,2.0,0.0,0.0,15.0,15.0,3000.0,64045.0
8_A414,8_A411,8,2.0,0.0,0.0,15.0,15.0,64045.0,3000.0
42_1605,42_1599,42,14.0,0.0,0.0,11.0,47.0,96000.0,22000.0
18_6012,18_5518,18,1.0,-4.0,0.0,311.0,463.0,83806.0,911113.0
47_9024,47_6022,47,2.0,5.0,,19.0,-28.0,3854.0,-128861.0
4_B901,4_1025,4,1.0,0.0,0.0,398.0,-854.0,220574.0,-529000.0
4_B902,4_1006,4,1.0,0.0,-3.0,398.0,-53.0,220574.0,-610579.0
4_B903,4_1006,4,1.0,0.0,-3.0,398.0,-53.0,227590.0,-610579.0
4_B959,4_B964,4,1.0,0.0,0.0,398.0,398.0,223574.0,223574.0
4_B960,4_1006,4,1.0,0.0,-3.0,398.0,-53.0,223574.0,-610579.0
4_B961,4_1006,4,1.0,0.0,-3.0,398.0,-53.0,223574.0,-610579.0
4_B964,4_B959,4,1.0,0.0,0.0,398.0,398.0,223574.0,223574.0
37_1006,37_1801,37,11.0,0.0,0.0,1037.0,230.0,162757.0,53728.0
18_1037,18_A430,18,6.0,4.0,0.0,-92.0,39.0,-16118.0,1275.0
23_1028,23_1009,23,2.0,-2.0,,30.0,25.0,22000.0,7000.0
40_4164,40_4086,40,6.0,0.0,0.0,12.0,121.0,2594.0,32422.0
8_7035,8_3032,8,1.0,-1.0,3.0,63.0,-278.0,30901.0,-106780.0
53_1008,53_1006,53,2.0,-19.0,2.0,79.0,83.0,24115.0,9318.0
18_2008,18_3003,18,2.0,,0.0,28.0,56.0,-49000.0,16000.0
28_2807,28_1802,28,2.0,-21.0,10.0,-6.0,85.0,-20000.0,35859.0
18_5518,18_6012,18,1.0,0.0,-4.0,463.0,311.0,911113.0,83806.0
10_4002,10_1201,10,2.0,0.0,,10.0,23.0,3000.0,4011.0
5_2042,5_4046,5,2.0,-5.0,0.0,172.0,162.0,28253.0,122000.0
29_7054,29_5473,29,1.0,0.0,0.0,172.0,106.0,96682.0,167000.0
18_3003,18_2008,18,2.0,-4.0,-9.0,129.0,-198.0,-18000.0,-173298.0
28_7012,28_3099,28,1.0,0.0,0.0,-114.0,246.0,-308022.0,142766.0
6_8149,6_B442,6,1.0,-37.0,-16.0,-426.0,325.0,-40375.0,182096.0
27_3012,27_4054,27,1.0,0.0,11.0,140.0,197.0,61867.0,123000.0
27_3007,27_4054,27,1.0,4.0,11.0,140.0,197.0,68344.0,123000.0
27_3009,27_4054,27,1.0,0.0,11.0,140.0,197.0,68344.0,123000.0
27_1004,27_1020,27,1.0,-16.0,12.0,101.0,101.0,34728.0,26000.0
27_1020,27_4055,27,1.0,12.0,0.0,101.0,397.0,26000.0,199969.0
27_2023,27_4055,27,1.0,12.0,0.0,101.0,397.0,26000.0,199969.0
27_2018,27_4055,27,1.0,4.0,0.0,229.0,397.0,-181000.0,199969.0
4_A902,4_6055,4,2.0,-39.0,,-792.0,182.0,-158726.0,43900.0
