treatment_label,count
"Grinding Surface, Patch Pot Holes - Hand Spread, Compacted with Truck",2
"Crack Sealing, Machine Premix Patch (placing premix with paver roller)",2
"Patch Pot Holes - Hand Spread, Compacted with Truck, Fog Seal Coat",2
"Grinding Surface, Joint Load Transfer Restoration in PCC Pavements",2
"Pressure Grout Subsealing, Longitudinal Subdrains",2
"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Longitudinal Subdrains",2
"Grinding Surface, Full Depth Patching of PCC Pavement Other Than at Joint",2
"AC Shoulder Restoration, Asphalt Concrete Overlay, Fog Seal Coat, Mill Off AC and Overlay with AC",2
"AC Shoulder Restoration, Warm Mix AC Overlay with RAP and/or RAS",2
"Other, Mill Existing Pavement and Overlay with Warm Mix Recycled AC",2
Warm Mix AC Overlay with RAP and/or RAS,2
"AC Shoulder Replacement, Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay",2
"Aggregate Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay",2
"AC Shoulder Replacement, Asphalt Concrete Overlay, Saw and Seal",2
"Full Depth Transverse Joint Repair Patch, Other",2
"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",2
"Asphalt Concrete Overlay, Partial Depth Patching of PCC Pavement Other Than at Joint",2
"Crack Sealing, Pressure Grout Subsealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",2
"AC Shoulder Restoration, Machine Premix Patch (placing premix with paver roller), Mill Off AC and Overlay with AC",2
"AC Shoulder Restoration, Machine Premix Patch (placing premix with paver roller), Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",2
"Asphalt Concrete Overlay, Manual Premix Spot Patch (hand spreading and compacting with roller)",2
"Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate), Slurry Seal Coat",2
"Asphalt Concrete Overlay, Fog Seal Coat",2
"Asphalt Concrete Overlay, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate)",2
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, PCC Slab Replacement",2
"AC Shoulder Restoration, Asphalt Concrete Overlay, Tack Coat",2
"AC Shoulder Restoration, Tack Coat, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",2
"Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch",2
"Grinding Surface, Transverse Joint Sealing, Partial depth patching of PCC pavements at joints",2
"Grinding Surface, Portland Cement Concrete Overlay, PCC Shoulder Restoration",2
"Grinding Surface, Portland Cement Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, PCC Shoulder Restoration",2
"AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing, Portland Cement Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch",2
"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Fracture Treatment of PCC Pavement as Base for New AC Surface, PCC Slab Replacement",2
"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains",2
"AC Shoulder Restoration, Asphalt Concrete Overlay, Fog Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay",2
"AC Shoulder Restoration, Fog Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",2
"Crack Sealing, AC Shoulder Restoration, Asphalt Concrete Overlay",2
"Longitudinal Subdrains, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",1
"Grinding Surface, Transverse Joint Sealing, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",1
"Fracture Treatment of PCC Pavement as Base for New AC Surface, Mill Off AC and Overlay with AC",1
"AC Shoulder Restoration, PCC Slab Replacement",1
"Hot-Mix Recycled Asphalt Concrete Overlay, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Restoration, Patch Pot Holes - Hand Spread, Compacted with Truck, Longitudinal Subdrains",1
"AC Shoulder Restoration, Full Depth Transverse Joint Repair Patch, Saw and Seal",1
"Crack Sealing, AC Shoulder Restoration, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints, PCC Slab Replacement",1
"Crack Sealing, PCC Slab Replacement",1
"AC Shoulder Restoration, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Manual Premix Spot Patch (hand spreading and compacting with roller), Machine Premix Patch (placing premix with paver roller)",1
"Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Asphalt Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing",1
"Transverse Subdrainage, Full Depth Transverse Joint Repair Patch, Hot-Mix Recycled Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Restoration, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, AC Shoulder Restoration, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Machine Premix Patch (placing premix with paver roller), Patch Pot Holes - Hand Spread, Compacted with Truck",1
"AC Shoulder Replacement, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Grinding Surface, Full Depth Transverse Joint Repair Patch",1
"Grinding Surface, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Aggregate Seal Coat",1
"Crack Sealing, Patch Pot Holes - Hand Spread, Compacted with Truck, Aggregate Seal Coat",1
"AC Shoulder Restoration, Surface Treatment, Single Layer, Aggregate Seal Coat",1
"Sand Seal Coat, Mill Off AC and Overlay with AC",1
"Surface Treatment, Single Layer, Slurry Seal Coat",1
"AC Shoulder Restoration, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",1
"Crack Sealing, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Patch Pot Holes - Hand Spread, Compacted with Truck, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",1
"Mechanical Premix Patch (using motor grader and roller), Aggregate Seal Coat",1
"Grinding Surface, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Mechanical Premix Patch (using motor grader and roller), Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Patch Pot Holes - Hand Spread, Compacted with Truck",1
"Crack Sealing, Transverse Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Asphalt Concrete Overlay, Machine Premix Patch (placing premix with paver roller)",1
"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay, Saw and Seal",1
"Grinding Surface, Asphalt Concrete Overlay, Aggregate Seal Coat",1
"Aggregate Seal Coat, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",1
"Crack Sealing, AC Shoulder Restoration, Lane-Shoulder Longitudinal Joint Sealing",1
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",1
"Crack Sealing, AC Shoulder Restoration, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Manual Premix Spot Patch (hand spreading and compacting with roller), Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",1
"Patch Pot Holes - Hand Spread, Compacted with Truck, Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",1
"AC Shoulder Restoration, Grinding Surface, Patch Pot Holes - Hand Spread, Compacted with Truck",1
"Transverse Joint Sealing, Manual Premix Spot Patch (hand spreading and compacting with roller), Lane-Shoulder Longitudinal Joint Sealing",1
"Crack Sealing, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints",1
"Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Restoration, Grinding Surface, Pressure Grout Subsealing, Transverse Joint Sealing, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",1
"Crack Sealing, Grinding Surface",1
"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Hot-Mix Recycled Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints",1
"Lane-Shoulder Longitudinal Joint Sealing, Mill Off AC and Overlay with AC",1
"AC Shoulder Restoration, Asphalt Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing, Saw and Seal",1
"AC Shoulder Restoration, Full Depth Patching of PCC Pavement Other Than at Joint, Other, PCC Slab Replacement",1
"AC Shoulder Restoration, Partial depth patching of PCC pavements at joints, PCC Slab Replacement",1
"Crack Sealing, Patch Pot Holes - Hand Spread, Compacted with Truck, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Aggregate Seal Coat, Saw and Seal",1
"Crack Sealing, AC Shoulder Restoration, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Machine Premix Patch (placing premix with paver roller), Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",1
"Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate), Full Depth Patching of PCC Pavement Other Than at Joint",1
"Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints, PCC Slab Replacement",1
"Patch Pot Holes - Hand Spread, Compacted with Truck, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate)",1
"Grinding Surface, Partial depth patching of PCC pavements at joints, PCC Slab Replacement",1
"Grinding Surface, PCC Shoulder Restoration",1
"AC Shoulder Restoration, Grinding Surface, Grooving Surface",1
"Crack Sealing, AC Shoulder Restoration, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, Mechanical Premix Patch (using motor grader and roller)",1
"Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Grinding Surface, Manual Premix Spot Patch (hand spreading and compacting with roller)",1
"Transverse Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",1
"Crack Sealing, AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing",1
"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",1
"Grinding Surface, Transverse Joint Sealing, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",1
"AC Shoulder Restoration, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Mill Off AC and Overlay with AC",1
"AC Shoulder Replacement, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Hot-Mix Recycled Asphalt Concrete Overlay",1
"Asphalt Concrete Overlay, Slurry Seal Coat",1
"Asphalt Concrete Overlay, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate), Surface Treatment, Single Layer",1
"Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",1
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",1
"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",1
"Slurry Seal Coat, Heater Scarification, Surface Recycled Asphalt Concrete",1
"Crack Sealing, Other",1
"Transverse Joint Sealing, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, Grinding Surface, Transverse Joint Sealing, Joint Load Transfer Restoration in PCC Pavements, PCC Slab Replacement",1
"Grinding Surface, Slab Jacking Depressions",1
"Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Crack Sealing, AC Shoulder Replacement",1
"AC Shoulder Replacement, Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Restoration, Grooving Surface, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate), Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Patch Pot Holes - Hand Spread, Compacted with Truck, Full Depth Transverse Joint Repair Patch",1
"Grinding Surface, Lane-Shoulder Longitudinal Joint Sealing",1
"AC Shoulder Restoration, Longitudinal Subdrains",1
"Crack Sealing, Transverse Joint Sealing, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",1
"Grinding Surface, Transverse Joint Sealing, Full Depth Transverse Joint Repair Patch",1
"Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",1
"Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",1
"AC Shoulder Replacement, Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint",1
"Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch",1
