broad_treatment_group,count,breakdown,treatment_label,event_year,state_name,functional_class
asphalt_overlay,4,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Longitudinal Subdrains, Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Machine Premix Patch (placing premix with paver roller), Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Machine Premix Patch (placing premix with paver roller), Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Machine Premix Patch (placing premix with paver roller), Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Manual Premix Spot Patch (hand spreading and compacting with roller), Tack Coat, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,34,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Warm Mix AC",,,
asphalt_overlay,74,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Patch Pot Holes - Hand Spread, Compacted with Truck, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Portland Cement Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Pressure Grout Subsealing, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Pressure Grout Subsealing, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Pressure Grout Subsealing, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Tack Coat, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Tack Coat, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,11,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Tack Coat, Mill Off AC and Overlay with AC",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Warm Mix AC Overlay with RAP and/or RAS",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Aggregate Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Aggregate Seal Coat, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,20,broad_treatment_group + treatment_label,"Aggregate Seal Coat, Mill Off AC and Overlay with AC",,,
asphalt_overlay,297,broad_treatment_group + treatment_label,Asphalt Concrete Overlay,,,
asphalt_overlay,12,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Aggregate Seal Coat",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Aggregate Seal Coat, Mill Off AC and Overlay with AC",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Fog Seal Coat",,,
asphalt_overlay,18,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,12,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
